brand,model,release_year,dimensions_mm,weight_g,screen_size_in,display_type,rear_camera_mp,soc,feature_tags,spec_source
Apple,"iPad Air (2020)",2020,"247.6 x 178.5 x 6.1",460,10.9,IPS,12.2,"Apple A14 Bionic","Wi-Fi 6,USB-C,eSIM optional","DeviceSpecifications"
Apple,"iPad Pro 11 (2021)",2021,"247.6 x 178.5 x 5.9",470,11.0,IPS,12.2,"Apple M1","Wi-Fi 6,USB-C,eSIM","DeviceSpecifications"
Apple,"iPad Pro 11 (2022)",2022,"247.6 x 178.5 x 5.9",470,11.0,IPS,12.2,"Apple M2","Wi-Fi 6,USB-C,eSIM","DeviceSpecifications"
Apple,"iPad Air 11 (2024)",2024,"247.6 x 178.5 x 6.1",462,10.9,IPS,12.2,"Apple M2","Wi-Fi 6,USB-C,eSIM","DeviceSpecifications"
Apple,"iPad Pro 11 (2024)",2024,"249.7 x 177.5 x 5.3",446,11.0,OLED,12.2,"Apple M4","OLED,Wi-Fi 6,USB-C,eSIM","DeviceSpecifications"
Samsung,"Galaxy Tab S6 Lite Wi-Fi",2020,"244.5 x 154.3 x 7.0",465,10.4,IPS,8.0,"Samsung Exynos 9611","microSD,USB-C,stylus family","DeviceSpecifications"
Samsung,"Galaxy Tab S7 FE Wi-Fi",2021,"284.8 x 185 x 6.3",610,12.4,IPS,8.0,"Qualcomm Snapdragon 778G","Wi-Fi 6,microSD,USB-C","DeviceSpecifications"
Samsung,"Galaxy Tab S8 Ultra Wi-Fi",2022,"285 x 185 x 5.7",597,14.6,AMOLED,13.0,"Qualcomm Snapdragon 8 Gen 1","AMOLED,Wi-Fi 6,microSD,USB-C","DeviceSpecifications"
Samsung,"Galaxy Tab S9 Wi-Fi",2023,"254.3 x 165.8 x 5.9",498,11.0,"Dynamic AMOLED 2X",13.0,"Qualcomm Snapdragon 8 Gen 2 for Galaxy","AMOLED,Wi-Fi 6,microSD,USB-C","DeviceSpecifications"
Samsung,"Galaxy Tab S10 Ultra Wi-Fi",2024,"326.4 x 208.6 x 5.4",718,14.6,"Dynamic AMOLED 2X",13.0,"MediaTek Dimensity 9300+","AMOLED,Wi-Fi 6,microSD,USB-C","DeviceSpecifications"
Lenovo,"Tab M10 Plus (3rd Gen) Wi-Fi G80",2022,"251.2 x 158.8 x 7.45",465,10.61,IPS,8.0,"MediaTek Helio G80","microSD,USB-C","DeviceSpecifications"
Lenovo,"Tab M10 Plus (3rd Gen) Wi-Fi SD680",2022,"251.2 x 158.8 x 7.45",465,10.61,IPS,8.0,"Qualcomm Snapdragon 680","microSD,USB-C","DeviceSpecifications"
Lenovo,"Yoga Tab 11 Wi-Fi",2021,"256.84 x 169.02 x 7.9",655,11.0,IPS,8.0,"MediaTek Helio G90T","microSD,USB-C,Wi-Fi Display","DeviceSpecifications"
Lenovo,"Tab P12 Pro",2021,"285.61 x 184.53 x 5.63",565,12.6,AMOLED,13.0,"Qualcomm Snapdragon 870","AMOLED,Wi-Fi 6,microSD,USB-C","DeviceSpecifications"
Lenovo,"Tab P11 Pro (2nd Gen)",2022,"263.66 x 166.67 x 6.8",480,11.2,OLED,13.0,"MediaTek Kompanio 1300T","OLED,Wi-Fi 6,microSD,USB-C","DeviceSpecifications"
Huawei,"MatePad Pro 12.6 Wi-Fi",2021,"286.5 x 184.7 x 6.7",609,12.6,OLED,13.0,"Huawei HiSilicon Kirin 9000E","OLED,Wi-Fi 6,Nano Memory,USB-C","DeviceSpecifications"
