soc,cpu_score_single,cpu_score_multi,geekbench_basis,performance_source,notes
"Apple A14 Bionic",2086,4995,"representative tablet/device result","Geekbench Browser","same-SoC proxy acceptable for iPad Air 2020"
"Apple M1",2595,9970,"representative tablet/device result","Geekbench Browser","used for iPad Pro 11 2021"
"Apple M2",2600,10100,"representative tablet/device result","Geekbench Browser","used for iPad Pro 11 2022 and iPad Air 11 2024"
"Apple M4",3681,13576,"representative tablet/device result","Geekbench Browser","used for iPad Pro 11 2024"
"Samsung Exynos 9611",740,1840,"same-SoC proxy result","Geekbench Browser","used for Galaxy Tab S6 Lite family"
"Qualcomm Snapdragon 778G",1010,2930,"same-SoC proxy result","Geekbench Browser","used for Galaxy Tab S7 FE Wi-Fi"
"Qualcomm Snapdragon 8 Gen 1",1628,3714,"representative tablet result","Geekbench Browser","used for Galaxy Tab S8 Ultra family"
"Qualcomm Snapdragon 8 Gen 2 for Galaxy",1950,5200,"same-SoC proxy result","Geekbench Browser","used for Galaxy Tab S9 family"
"MediaTek Dimensity 9300+",2250,7600,"same-SoC proxy result","Geekbench Browser","used for Galaxy Tab S10 Ultra family"
"MediaTek Helio G80",430,1410,"same-SoC proxy result","Geekbench Browser","used for Lenovo Tab M10 Plus (3rd Gen) G80"
"Qualcomm Snapdragon 680",410,1490,"same-SoC proxy result","Geekbench Browser","used for Lenovo Tab M10 Plus SD680 and Honor Pad 8"
"MediaTek Helio G90T",750,1990,"same-SoC proxy result","Geekbench Browser","used for Lenovo Yoga Tab 11"
"Qualcomm Snapdragon 870",1295,3520,"representative tablet result","Geekbench Browser","used for Lenovo Tab P12 Pro and Xiaomi Pad 6"
"MediaTek Kompanio 1300T",1030,3080,"same-SoC proxy result","Geekbench Browser","used for Lenovo Tab P11 Pro (2nd Gen)"
"Huawei HiSilicon Kirin 9000E",1490,4350,"same-SoC proxy result","Geekbench Browser","used for MatePad Pro 12.6 Wi-Fi"
"Huawei HiSilicon Kirin 9000",1550,4600,"same-SoC proxy result","Geekbench Browser","used for MatePad Pro 12.6 5G"
"Qualcomm Snapdragon 7 Gen 1",1030,3000,"same-SoC proxy result","Geekbench Browser","used for Huawei MatePad 11.5 2023"
"Qualcomm Snapdragon 888",1390,3950,"same-SoC proxy result","Geekbench Browser","used for Huawei MatePad Air and Honor MagicPad 13"
"Huawei HiSilicon Kirin 9000S",1322,4059,"representative tablet/device result","Geekbench Browser","used for Huawei MatePad Pro 13.2"
"Qualcomm Snapdragon 860",1100,3200,"same-SoC proxy result","Geekbench Browser","used for Xiaomi Pad 5"
"MediaTek Helio G99",730,1970,"same-SoC proxy result","Geekbench Browser","used for Redmi Pad and Oppo Pad Air2/Pad Neo"
"Qualcomm Snapdragon 7s Gen 2",1020,2950,"same-SoC proxy result","Geekbench Browser","used for Redmi Pad Pro"
"Qualcomm Snapdragon 8 Gen 2",1950,5200,"same-SoC proxy result","Geekbench Browser","used for Xiaomi Pad 6S Pro 12.4"
"MediaTek Helio P22",350,1300,"same-SoC proxy result","Geekbench Browser","used for Honor Tab 7"
"Qualcomm Snapdragon 685",480,1540,"same-SoC proxy result","Geekbench Browser","used for Honor Pad X8 Pro"
"Qualcomm Snapdragon 6 Gen 1",930,2750,"same-SoC proxy result","Geekbench Browser","used for Honor Pad 9"
"MediaTek Dimensity 9000",1700,4450,"same-SoC proxy result","Geekbench Browser","used for Oppo Pad 2"
"MediaTek Dimensity 8350",1550,6200,"same-SoC proxy result","Geekbench Browser","used for Oppo Pad 2024"
"Qualcomm Snapdragon 8 Gen 3",2200,7000,"same-SoC proxy result","Geekbench Browser","used for Oppo Pad 3 Pro"
"MediaTek MT8168",290,900,"same-SoC proxy result","Geekbench Browser","used for Amazon Fire 7 (2022)"
"MediaTek MT8188J",840,2250,"same-SoC proxy result","Geekbench Browser","used for Amazon Fire Max 11"
